hand,value,handtype,score
"('14C', '14D', '14H')",59.0,3,1000000.0
"('14C', '14D', '14S')",59.0,3,1000000.0
"('14C', '14H', '14S')",59.0,3,1000000.0
"('14D', '14H', '14S')",59.0,3,1000000.0
"('13C', '13D', '13H')",58.0,3,999774.0
"('13C', '13D', '13S')",58.0,3,999774.0
"('13C', '13H', '13S')",58.0,3,999774.0
"('13D', '13H', '13S')",58.0,3,999774.0
"('12C', '12D', '12H')",57.0,3,999593.0
"('12C', '12D', '12S')",57.0,3,999593.0
"('12C', '12H', '12S')",57.0,3,999593.0
"('12D', '12H', '12S')",57.0,3,999593.0
"('11C', '11D', '11H')",56.0,3,999412.0
"('11C', '11D', '11S')",56.0,3,999412.0
"('11C', '11H', '11S')",56.0,3,999412.0
"('11D', '11H', '11S')",56.0,3,999412.0
"('10C', '10D', '10H')",55.0,3,999231.0
"('10C', '10D', '10S')",55.0,3,999231.0
"('10C', '10H', '10S')",55.0,3,999231.0
"('10D', '10H', '10S')",55.0,3,999231.0
"('09C', '09D', '09H')",54.0,3,999050.0
"('09C', '09D', '09S')",54.0,3,999050.0
"('09C', '09H', '09S')",54.0,3,999050.0
"('09D', '09H', '09S')",54.0,3,999050.0
"('08C', '08D', '08H')",53.0,3,998869.0
"('08C', '08D', '08S')",53.0,3,998869.0
"('08C', '08H', '08S')",53.0,3,998869.0
"('08D', '08H', '08S')",53.0,3,998869.0
"('07C', '07D', '07H')",52.0,3,998688.0
"('07C', '07D', '07S')",52.0,3,998688.0
"('07C', '07H', '07S')",52.0,3,998688.0
"('07D', '07H', '07S')",52.0,3,998688.0
"('06C', '06D', '06H')",51.0,3,998507.0
"('06C', '06D', '06S')",51.0,3,998507.0
"('06C', '06H', '06S')",51.0,3,998507.0
"('06D', '06H', '06S')",51.0,3,998507.0
"('05C', '05D', '05H')",50.0,3,998326.0
"('05C', '05D', '05S')",50.0,3,998326.0
"('05C', '05H', '05S')",50.0,3,998326.0
"('05D', '05H', '05S')",50.0,3,998326.0
"('04C', '04D', '04H')",49.0,3,998145.0
"('04C', '04D', '04S')",49.0,3,998145.0
"('04C', '04H', '04S')",49.0,3,998145.0
"('04D', '04H', '04S')",49.0,3,998145.0
"('03C', '03D', '03H')",48.0,3,997964.0
"('03C', '03D', '03S')",48.0,3,997964.0
"('03C', '03H', '03S')",48.0,3,997964.0
"('03D', '03H', '03S')",48.0,3,997964.0
"('02C', '02D', '02H')",47.0,3,997783.0
"('02C', '02D', '02S')",47.0,3,997783.0
"('02C', '02H', '02S')",47.0,3,997783.0
"('02D', '02H', '02S')",47.0,3,997783.0
"('13C', '14C', '14D')",29.13,1,997602.0
"('13C', '14C', '14H')",29.13,1,997602.0
"('13C', '14C', '14S')",29.13,1,997602.0
"('13C', '14D', '14H')",29.13,1,997602.0
"('13C', '14D', '14S')",29.13,1,997602.0
"('13C', '14H', '14S')",29.13,1,997602.0
"('13D', '14C', '14D')",29.13,1,997602.0
"('13D', '14C', '14H')",29.13,1,997602.0
"('13D', '14C', '14S')",29.13,1,997602.0
"('13D', '14D', '14H')",29.13,1,997602.0
"('13D', '14D', '14S')",29.13,1,997602.0
"('13D', '14H', '14S')",29.13,1,997602.0
"('13H', '14C', '14D')",29.13,1,997602.0
"('13H', '14C', '14H')",29.13,1,997602.0
"('13H', '14C', '14S')",29.13,1,997602.0
"('13H', '14D', '14H')",29.13,1,997602.0
"('13H', '14D', '14S')",29.13,1,997602.0
"('13H', '14H', '14S')",29.13,1,997602.0
"('13S', '14C', '14D')",29.13,1,997602.0
"('13S', '14C', '14H')",29.13,1,997602.0
"('13S', '14C', '14S')",29.13,1,997602.0
"('13S', '14D', '14H')",29.13,1,997602.0
"('13S', '14D', '14S')",29.13,1,997602.0
"('13S', '14H', '14S')",29.13,1,997602.0
"('12C', '14C', '14D')",29.12,1,996516.0
"('12C', '14C', '14H')",29.12,1,996516.0
"('12C', '14C', '14S')",29.12,1,996516.0
"('12C', '14D', '14H')",29.12,1,996516.0
"('12C', '14D', '14S')",29.12,1,996516.0
"('12C', '14H', '14S')",29.12,1,996516.0
"('12D', '14C', '14D')",29.12,1,996516.0
"('12D', '14C', '14H')",29.12,1,996516.0
"('12D', '14C', '14S')",29.12,1,996516.0
"('12D', '14D', '14H')",29.12,1,996516.0
"('12D', '14D', '14S')",29.12,1,996516.0
"('12D', '14H', '14S')",29.12,1,996516.0
"('12H', '14C', '14D')",29.12,1,996516.0
"('12H', '14C', '14H')",29.12,1,996516.0
"('12H', '14C', '14S')",29.12,1,996516.0
"('12H', '14D', '14H')",29.12,1,996516.0
"('12H', '14D', '14S')",29.12,1,996516.0
"('12H', '14H', '14S')",29.12,1,996516.0
"('12S', '14C', '14D')",29.12,1,996516.0
"('12S', '14C', '14H')",29.12,1,996516.0
"('12S', '14C', '14S')",29.12,1,996516.0
"('12S', '14D', '14H')",29.12,1,996516.0
"('12S', '14D', '14S')",29.12,1,996516.0
"('12S', '14H', '14S')",29.12,1,996516.0
"('11C', '14C', '14D')",29.11,1,995430.0
"('11C', '14C', '14H')",29.11,1,995430.0
"('11C', '14C', '14S')",29.11,1,995430.0
"('11C', '14D', '14H')",29.11,1,995430.0
"('11C', '14D', '14S')",29.11,1,995430.0
"('11C', '14H', '14S')",29.11,1,995430.0
"('11D', '14C', '14D')",29.11,1,995430.0
"('11D', '14C', '14H')",29.11,1,995430.0
"('11D', '14C', '14S')",29.11,1,995430.0
"('11D', '14D', '14H')",29.11,1,995430.0
"('11D', '14D', '14S')",29.11,1,995430.0
"('11D', '14H', '14S')",29.11,1,995430.0
"('11H', '14C', '14D')",29.11,1,995430.0
"('11H', '14C', '14H')",29.11,1,995430.0
"('11H', '14C', '14S')",29.11,1,995430.0
"('11H', '14D', '14H')",29.11,1,995430.0
"('11H', '14D', '14S')",29.11,1,995430.0
"('11H', '14H', '14S')",29.11,1,995430.0
"('11S', '14C', '14D')",29.11,1,995430.0
"('11S', '14C', '14H')",29.11,1,995430.0
"('11S', '14C', '14S')",29.11,1,995430.0
"('11S', '14D', '14H')",29.11,1,995430.0
"('11S', '14D', '14S')",29.11,1,995430.0
"('11S', '14H', '14S')",29.11,1,995430.0
"('10C', '14C', '14D')",29.1,1,994344.0
"('10C', '14C', '14H')",29.1,1,994344.0
"('10C', '14C', '14S')",29.1,1,994344.0
"('10C', '14D', '14H')",29.1,1,994344.0
"('10C', '14D', '14S')",29.1,1,994344.0
"('10C', '14H', '14S')",29.1,1,994344.0
"('10D', '14C', '14D')",29.1,1,994344.0
"('10D', '14C', '14H')",29.1,1,994344.0
"('10D', '14C', '14S')",29.1,1,994344.0
"('10D', '14D', '14H')",29.1,1,994344.0
"('10D', '14D', '14S')",29.1,1,994344.0
"('10D', '14H', '14S')",29.1,1,994344.0
"('10H', '14C', '14D')",29.1,1,994344.0
"('10H', '14C', '14H')",29.1,1,994344.0
"('10H', '14C', '14S')",29.1,1,994344.0
"('10H', '14D', '14H')",29.1,1,994344.0
"('10H', '14D', '14S')",29.1,1,994344.0
"('10H', '14H', '14S')",29.1,1,994344.0
"('10S', '14C', '14D')",29.1,1,994344.0
"('10S', '14C', '14H')",29.1,1,994344.0
"('10S', '14C', '14S')",29.1,1,994344.0
"('10S', '14D', '14H')",29.1,1,994344.0
"('10S', '14D', '14S')",29.1,1,994344.0
"('10S', '14H', '14S')",29.1,1,994344.0
"('09C', '14C', '14D')",29.09,1,993258.0
"('09C', '14C', '14H')",29.09,1,993258.0
"('09C', '14C', '14S')",29.09,1,993258.0
"('09C', '14D', '14H')",29.09,1,993258.0
"('09C', '14D', '14S')",29.09,1,993258.0
"('09C', '14H', '14S')",29.09,1,993258.0
"('09D', '14C', '14D')",29.09,1,993258.0
"('09D', '14C', '14H')",29.09,1,993258.0
"('09D', '14C', '14S')",29.09,1,993258.0
"('09D', '14D', '14H')",29.09,1,993258.0
"('09D', '14D', '14S')",29.09,1,993258.0
"('09D', '14H', '14S')",29.09,1,993258.0
"('09H', '14C', '14D')",29.09,1,993258.0
"('09H', '14C', '14H')",29.09,1,993258.0
"('09H', '14C', '14S')",29.09,1,993258.0
"('09H', '14D', '14H')",29.09,1,993258.0
"('09H', '14D', '14S')",29.09,1,993258.0
"('09H', '14H', '14S')",29.09,1,993258.0
"('09S', '14C', '14D')",29.09,1,993258.0
"('09S', '14C', '14H')",29.09,1,993258.0
"('09S', '14C', '14S')",29.09,1,993258.0
"('09S', '14D', '14H')",29.09,1,993258.0
"('09S', '14D', '14S')",29.09,1,993258.0
"('09S', '14H', '14S')",29.09,1,993258.0
"('08C', '14C', '14D')",29.08,1,992172.0
"('08C', '14C', '14H')",29.08,1,992172.0
"('08C', '14C', '14S')",29.08,1,992172.0
"('08C', '14D', '14H')",29.08,1,992172.0
"('08C', '14D', '14S')",29.08,1,992172.0
"('08C', '14H', '14S')",29.08,1,992172.0
"('08D', '14C', '14D')",29.08,1,992172.0
"('08D', '14C', '14H')",29.08,1,992172.0
"('08D', '14C', '14S')",29.08,1,992172.0
"('08D', '14D', '14H')",29.08,1,992172.0
"('08D', '14D', '14S')",29.08,1,992172.0
"('08D', '14H', '14S')",29.08,1,992172.0
"('08H', '14C', '14D')",29.08,1,992172.0
"('08H', '14C', '14H')",29.08,1,992172.0
"('08H', '14C', '14S')",29.08,1,992172.0
"('08H', '14D', '14H')",29.08,1,992172.0
"('08H', '14D', '14S')",29.08,1,992172.0
"('08H', '14H', '14S')",29.08,1,992172.0
"('08S', '14C', '14D')",29.08,1,992172.0
"('08S', '14C', '14H')",29.08,1,992172.0
"('08S', '14C', '14S')",29.08,1,992172.0
"('08S', '14D', '14H')",29.08,1,992172.0
"('08S', '14D', '14S')",29.08,1,992172.0
"('08S', '14H', '14S')",29.08,1,992172.0
"('07C', '14C', '14D')",29.07,1,991086.0
"('07C', '14C', '14H')",29.07,1,991086.0
"('07C', '14C', '14S')",29.07,1,991086.0
"('07C', '14D', '14H')",29.07,1,991086.0
"('07C', '14D', '14S')",29.07,1,991086.0
"('07C', '14H', '14S')",29.07,1,991086.0
"('07D', '14C', '14D')",29.07,1,991086.0
"('07D', '14C', '14H')",29.07,1,991086.0
"('07D', '14C', '14S')",29.07,1,991086.0
"('07D', '14D', '14H')",29.07,1,991086.0
"('07D', '14D', '14S')",29.07,1,991086.0
"('07D', '14H', '14S')",29.07,1,991086.0
"('07H', '14C', '14D')",29.07,1,991086.0
"('07H', '14C', '14H')",29.07,1,991086.0
"('07H', '14C', '14S')",29.07,1,991086.0
"('07H', '14D', '14H')",29.07,1,991086.0
"('07H', '14D', '14S')",29.07,1,991086.0
"('07H', '14H', '14S')",29.07,1,991086.0
"('07S', '14C', '14D')",29.07,1,991086.0
"('07S', '14C', '14H')",29.07,1,991086.0
"('07S', '14C', '14S')",29.07,1,991086.0
"('07S', '14D', '14H')",29.07,1,991086.0
"('07S', '14D', '14S')",29.07,1,991086.0
"('07S', '14H', '14S')",29.07,1,991086.0
"('06C', '14C', '14D')",29.06,1,990000.0
"('06C', '14C', '14H')",29.06,1,990000.0
"('06C', '14C', '14S')",29.06,1,990000.0
"('06C', '14D', '14H')",29.06,1,990000.0
"('06C', '14D', '14S')",29.06,1,990000.0
"('06C', '14H', '14S')",29.06,1,990000.0
"('06D', '14C', '14D')",29.06,1,990000.0
"('06D', '14C', '14H')",29.06,1,990000.0
"('06D', '14C', '14S')",29.06,1,990000.0
"('06D', '14D', '14H')",29.06,1,990000.0
"('06D', '14D', '14S')",29.06,1,990000.0
"('06D', '14H', '14S')",29.06,1,990000.0
"('06H', '14C', '14D')",29.06,1,990000.0
"('06H', '14C', '14H')",29.06,1,990000.0
"('06H', '14C', '14S')",29.06,1,990000.0
"('06H', '14D', '14H')",29.06,1,990000.0
"('06H', '14D', '14S')",29.06,1,990000.0
"('06H', '14H', '14S')",29.06,1,990000.0
"('06S', '14C', '14D')",29.06,1,990000.0
"('06S', '14C', '14H')",29.06,1,990000.0
"('06S', '14C', '14S')",29.06,1,990000.0
"('06S', '14D', '14H')",29.06,1,990000.0
"('06S', '14D', '14S')",29.06,1,990000.0
"('06S', '14H', '14S')",29.06,1,990000.0
"('05C', '14C', '14D')",29.05,1,988914.0
"('05C', '14C', '14H')",29.05,1,988914.0
"('05C', '14C', '14S')",29.05,1,988914.0
"('05C', '14D', '14H')",29.05,1,988914.0
"('05C', '14D', '14S')",29.05,1,988914.0
"('05C', '14H', '14S')",29.05,1,988914.0
"('05D', '14C', '14D')",29.05,1,988914.0
"('05D', '14C', '14H')",29.05,1,988914.0
"('05D', '14C', '14S')",29.05,1,988914.0
"('05D', '14D', '14H')",29.05,1,988914.0
"('05D', '14D', '14S')",29.05,1,988914.0
"('05D', '14H', '14S')",29.05,1,988914.0
"('05H', '14C', '14D')",29.05,1,988914.0
"('05H', '14C', '14H')",29.05,1,988914.0
"('05H', '14C', '14S')",29.05,1,988914.0
"('05H', '14D', '14H')",29.05,1,988914.0
"('05H', '14D', '14S')",29.05,1,988914.0
"('05H', '14H', '14S')",29.05,1,988914.0
"('05S', '14C', '14D')",29.05,1,988914.0
"('05S', '14C', '14H')",29.05,1,988914.0
"('05S', '14C', '14S')",29.05,1,988914.0
"('05S', '14D', '14H')",29.05,1,988914.0
"('05S', '14D', '14S')",29.05,1,988914.0
"('05S', '14H', '14S')",29.05,1,988914.0
"('04C', '14C', '14D')",29.04,1,987828.0
"('04C', '14C', '14H')",29.04,1,987828.0
"('04C', '14C', '14S')",29.04,1,987828.0
"('04C', '14D', '14H')",29.04,1,987828.0
"('04C', '14D', '14S')",29.04,1,987828.0
"('04C', '14H', '14S')",29.04,1,987828.0
"('04D', '14C', '14D')",29.04,1,987828.0
"('04D', '14C', '14H')",29.04,1,987828.0
"('04D', '14C', '14S')",29.04,1,987828.0
