hand,value,handvalue,score
"('14H', '14C', '14S')",59.0,3.0,1000000.0
"('13C', '13H', '13S')",58.0,3.0,999774.0
"('12C', '12S', '12H')",57.0,3.0,999593.0
"('11H', '11S', '11D')",56.0,3.0,999412.0
"('10D', '10S', '10H')",55.0,3.0,999231.0
"('09C', '09S', '09D')",54.0,3.0,999050.0
"('08C', '08S', '08H')",53.0,3.0,998869.0
"('07H', '07D', '07S')",52.0,3.0,998688.0
"('06C', '06H', '06D')",51.0,3.0,998507.0
"('05H', '05C', '05D')",50.0,3.0,998326.0
"('04H', '04S', '04C')",49.0,3.0,998145.0
"('03D', '03S', '03H')",48.0,3.0,997964.0
"('02C', '02S', '02D')",47.0,3.0,997783.0
"('13C', '14H', '14C')",29.13,1.0,997602.0
"('12C', '14H', '14C')",29.12,1.0,996516.0
"('11H', '14H', '14C')",29.11,1.0,995430.0
"('14H', '10D', '14C')",29.1,1.0,994344.0
"('14H', '09C', '14C')",29.09,1.0,993258.0
"('14H', '08C', '14C')",29.08,1.0,992172.0
"('07H', '14H', '14C')",29.07,1.0,991086.0
"('06C', '14H', '14C')",29.06,1.0,990000.0
"('14H', '05H', '14C')",29.05,1.0,988914.0
"('04H', '14H', '14C')",29.04,1.0,987828.0
"('14H', '03D', '14C')",29.03,1.0,986742.0
"('14H', '02C', '14C')",29.02,1.0,985656.0
"('13C', '14H', '13H')",28.14,1.0,984570.0
"('13C', '12C', '13H')",28.12,1.0,983484.0
"('13C', '11H', '13H')",28.11,1.0,982398.0
"('13C', '10D', '13H')",28.1,1.0,981312.0
"('13C', '09C', '13H')",28.09,1.0,980226.0
"('13C', '08C', '13H')",28.08,1.0,979140.0
"('13C', '07H', '13H')",28.07,1.0,978054.0
"('13C', '06C', '13H')",28.06,1.0,976968.0
"('13C', '05H', '13H')",28.05,1.0,975882.0
"('13C', '04H', '13H')",28.04,1.0,974796.0
"('13C', '03D', '13H')",28.03,1.0,973710.0
"('13C', '02C', '13H')",28.02,1.0,972624.0
"('12C', '12S', '14H')",27.14,1.0,971538.0
"('13C', '12C', '12S')",27.13,1.0,970452.0
"('12C', '12S', '11H')",27.11,1.0,969367.0
"('12C', '12S', '10D')",27.1,1.0,968281.0
"('12C', '12S', '09C')",27.09,1.0,967195.0
"('12C', '12S', '08C')",27.08,1.0,966109.0
"('12C', '12S', '07H')",27.07,1.0,965023.0
"('12C', '12S', '06C')",27.06,1.0,963937.0
"('12C', '12S', '05H')",27.05,1.0,962851.0
"('12C', '12S', '04H')",27.04,1.0,961765.0
"('12C', '12S', '03D')",27.03,1.0,960679.0
"('12C', '12S', '02C')",27.02,1.0,959593.0
"('11H', '14H', '11S')",26.14,1.0,958507.0
"('13C', '11H', '11S')",26.13,1.0,957421.0
"('12C', '11H', '11S')",26.12,1.0,956335.0
"('11H', '10D', '11S')",26.1,1.0,955249.0
"('11H', '11S', '09C')",26.09,1.0,954163.0
"('11H', '08C', '11S')",26.08,1.0,953077.0
"('07H', '11H', '11S')",26.07,1.0,951991.0
"('06C', '11H', '11S')",26.06,1.0,950905.0
"('11H', '11S', '05H')",26.05,1.0,949819.0
"('04H', '11H', '11S')",26.04,1.0,948733.0
"('11H', '11S', '03D')",26.03,1.0,947647.0
"('11H', '02C', '11S')",26.02,1.0,946561.0
"('14H', '10D', '10S')",25.14,1.0,945475.0
"('13C', '10D', '10S')",25.13,1.0,944389.0
"('12C', '10D', '10S')",25.12,1.0,943303.0
"('11H', '10D', '10S')",25.11,1.0,942217.0
"('10D', '10S', '09C')",25.09,1.0,941131.0
"('08C', '10D', '10S')",25.08,1.0,940045.0
"('07H', '10D', '10S')",25.07,1.0,938959.0
"('06C', '10D', '10S')",25.06,1.0,937873.0
"('10D', '10S', '05H')",25.05,1.0,936787.0
"('04H', '10D', '10S')",25.04,1.0,935701.0
"('10D', '10S', '03D')",25.03,1.0,934615.0
"('10D', '10S', '02C')",25.02,1.0,933529.0
"('14H', '09C', '09S')",24.14,1.0,932443.0
"('13C', '09C', '09S')",24.13,1.0,931357.0
"('12C', '09C', '09S')",24.12,1.0,930271.0
"('11H', '09C', '09S')",24.11,1.0,929186.0
"('10D', '09C', '09S')",24.1,1.0,928100.0
"('08C', '09C', '09S')",24.08,1.0,927014.0
"('07H', '09C', '09S')",24.07,1.0,925928.0
"('06C', '09C', '09S')",24.06,1.0,924842.0
"('05H', '09C', '09S')",24.05,1.0,923756.0
"('04H', '09C', '09S')",24.04,1.0,922670.0
"('03D', '09C', '09S')",24.03,1.0,921584.0
"('02C', '09C', '09S')",24.02,1.0,920498.0
"('14H', '08C', '08S')",23.14,1.0,919412.0
"('13C', '08C', '08S')",23.13,1.0,918326.0
"('12C', '08C', '08S')",23.12,1.0,917240.0
"('11H', '08C', '08S')",23.11,1.0,916154.0
"('08C', '10D', '08S')",23.1,1.0,915068.0
"('08C', '09C', '08S')",23.09,1.0,913982.0
"('07H', '08C', '08S')",23.07,1.0,912896.0
"('06C', '08C', '08S')",23.06,1.0,911810.0
"('08C', '05H', '08S')",23.05,1.0,910724.0
"('04H', '08C', '08S')",23.04,1.0,909638.0
"('08C', '03D', '08S')",23.03,1.0,908552.0
"('08C', '02C', '08S')",23.02,1.0,907466.0
"('07H', '07D', '14H')",22.14,1.0,906380.0
"('13C', '07H', '07D')",22.13,1.0,905294.0
"('12C', '07H', '07D')",22.12,1.0,904208.0
"('07H', '11H', '07D')",22.11,1.0,903122.0
"('07H', '07D', '10D')",22.1,1.0,902036.0
"('07H', '07D', '09C')",22.09,1.0,900950.0
"('07H', '07D', '08C')",22.08,1.0,899864.0
"('07H', '06C', '07D')",22.06,1.0,898778.0
"('07H', '07D', '05H')",22.05,1.0,897692.0
"('07H', '04H', '07D')",22.04,1.0,896606.0
"('07H', '07D', '03D')",22.03,1.0,895520.0
"('07H', '07D', '02C')",22.02,1.0,894434.0
"('06C', '14H', '06H')",21.14,1.0,893348.0
"('13C', '06C', '06H')",21.13,1.0,892262.0
"('12C', '06C', '06H')",21.12,1.0,891176.0
"('06C', '11H', '06H')",21.11,1.0,890090.0
"('06C', '10D', '06H')",21.1,1.0,889005.0
"('06C', '06H', '09C')",21.09,1.0,887919.0
"('06C', '08C', '06H')",21.08,1.0,886833.0
"('07H', '06C', '06H')",21.07,1.0,885747.0
"('06C', '06H', '05H')",21.05,1.0,884661.0
"('06C', '04H', '06H')",21.04,1.0,883575.0
"('06C', '06H', '03D')",21.03,1.0,882489.0
"('06C', '02C', '06H')",21.02,1.0,881403.0
"('14H', '05H', '05C')",20.14,1.0,880317.0
"('13C', '05H', '05C')",20.13,1.0,879231.0
"('12C', '05H', '05C')",20.12,1.0,878145.0
"('11H', '05H', '05C')",20.11,1.0,877059.0
"('10D', '05H', '05C')",20.1,1.0,875973.0
"('05H', '05C', '09C')",20.09,1.0,874887.0
"('08C', '05H', '05C')",20.08,1.0,873801.0
"('07H', '05H', '05C')",20.07,1.0,872715.0
"('06C', '05H', '05C')",20.06,1.0,871629.0
"('04H', '05H', '05C')",20.04,1.0,870543.0
"('05H', '05C', '03D')",20.03,1.0,869457.0
"('02C', '05H', '05C')",20.02,1.0,868371.0
"('04H', '14H', '04S')",19.14,1.0,867285.0
"('13C', '04H', '04S')",19.13,1.0,866199.0
"('12C', '04H', '04S')",19.12,1.0,865113.0
"('04H', '11H', '04S')",19.11,1.0,864027.0
"('04H', '10D', '04S')",19.1,1.0,862941.0
"('04H', '04S', '09C')",19.09,1.0,861855.0
"('04H', '08C', '04S')",19.08,1.0,860769.0
"('07H', '04H', '04S')",19.07,1.0,859683.0
"('06C', '04H', '04S')",19.06,1.0,858597.0
"('04H', '05H', '04S')",19.05,1.0,857511.0
"('04H', '04S', '03D')",19.03,1.0,856425.0
"('04H', '02C', '04S')",19.02,1.0,855339.0
"('14H', '03D', '03S')",18.14,1.0,854253.0
"('13C', '03D', '03S')",18.13,1.0,853167.0
"('12C', '03D', '03S')",18.12,1.0,852081.0
"('11H', '03D', '03S')",18.11,1.0,850995.0
"('10D', '03D', '03S')",18.1,1.0,849910.0
"('03D', '09C', '03S')",18.09,1.0,848824.0
"('08C', '03D', '03S')",18.08,1.0,847738.0
"('07H', '03D', '03S')",18.07,1.0,846652.0
"('06C', '03D', '03S')",18.06,1.0,845566.0
"('05H', '03D', '03S')",18.05,1.0,844480.0
"('04H', '03D', '03S')",18.04,1.0,843394.0
