score,hand,handtype,score2
59.0,"[14, 14, 14]",3,1000000.0
58.0,"[13, 13, 13]",3,999774.0
57.0,"[12, 12, 12]",3,999593.0
56.0,"[11, 11, 11]",3,999412.0
55.0,"[10, 10, 10]",3,999231.0
54.0,"[9, 9, 9]",3,999050.0
53.0,"[8, 8, 8]",3,998869.0
52.0,"[7, 7, 7]",3,998688.0
51.0,"[6, 6, 6]",3,998507.0
50.0,"[5, 5, 5]",3,998326.0
49.0,"[4, 4, 4]",3,998145.0
48.0,"[3, 3, 3]",3,997964.0
47.0,"[2, 2, 2]",3,997783.0
29.13,"[13, 14, 14]",1,997602.0
29.12,"[12, 14, 14]",1,996516.0
29.11,"[11, 14, 14]",1,995430.0
29.1,"[10, 14, 14]",1,994344.0
29.09,"[9, 14, 14]",1,993258.0
29.08,"[8, 14, 14]",1,992172.0
29.07,"[7, 14, 14]",1,991086.0
29.06,"[6, 14, 14]",1,990000.0
29.05,"[5, 14, 14]",1,988914.0
29.04,"[4, 14, 14]",1,987828.0
29.03,"[3, 14, 14]",1,986742.0
29.02,"[2, 14, 14]",1,985656.0
28.14,"[13, 13, 14]",1,984570.0
28.12,"[12, 13, 13]",1,983484.0
28.11,"[11, 13, 13]",1,982398.0
28.1,"[10, 13, 13]",1,981312.0
28.09,"[9, 13, 13]",1,980226.0
28.08,"[8, 13, 13]",1,979140.0
28.07,"[7, 13, 13]",1,978054.0
28.06,"[6, 13, 13]",1,976968.0
28.05,"[5, 13, 13]",1,975882.0
28.04,"[4, 13, 13]",1,974796.0
28.03,"[3, 13, 13]",1,973710.0
28.02,"[2, 13, 13]",1,972624.0
27.14,"[12, 12, 14]",1,971538.0
27.13,"[12, 12, 13]",1,970452.0
27.11,"[11, 12, 12]",1,969367.0
27.1,"[10, 12, 12]",1,968281.0
27.09,"[9, 12, 12]",1,967195.0
27.08,"[8, 12, 12]",1,966109.0
27.07,"[7, 12, 12]",1,965023.0
27.06,"[6, 12, 12]",1,963937.0
27.05,"[5, 12, 12]",1,962851.0
27.04,"[4, 12, 12]",1,961765.0
27.03,"[3, 12, 12]",1,960679.0
27.02,"[2, 12, 12]",1,959593.0
26.14,"[11, 11, 14]",1,958507.0
26.13,"[11, 11, 13]",1,957421.0
26.12,"[11, 11, 12]",1,956335.0
26.1,"[10, 11, 11]",1,955249.0
26.09,"[9, 11, 11]",1,954163.0
26.08,"[8, 11, 11]",1,953077.0
26.07,"[7, 11, 11]",1,951991.0
26.06,"[6, 11, 11]",1,950905.0
26.05,"[5, 11, 11]",1,949819.0
26.04,"[4, 11, 11]",1,948733.0
26.03,"[3, 11, 11]",1,947647.0
26.02,"[2, 11, 11]",1,946561.0
