,top,mid,bot,s1,s2,s3,sc1,sc2
54219,"['06H', '10S', '11D']","['03C', '04D', '07S', '08H', '13S']","['05C', '05H', '12C', '12H', '12S']",11.106,13.087430000000001,162.0,236.17043,232.59886
63291,"['08H', '10S', '11D']","['03C', '04D', '06H', '07S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.107999999999999,13.076430000000002,162.0,236.17043,232.58486
26806,"['04D', '10S', '11D']","['03C', '06H', '07S', '08H', '13S']","['05C', '05H', '12C', '12H', '12S']",11.104,13.08763,162.0,236.15963,232.59126
12946,"['03C', '10S', '11D']","['04D', '06H', '07S', '08H', '13S']","['05C', '05H', '12C', '12H', '12S']",11.103,13.08764,162.0,236.15413999999998,232.58728
52959,"['06H', '08H', '11D']","['03C', '04D', '07S', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.086,13.10743,162.0,236.08043,232.55886
25546,"['04D', '08H', '11D']","['03C', '06H', '07S', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.084,13.10763,162.0,236.06963,232.55126
11686,"['03C', '08H', '11D']","['04D', '06H', '07S', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.083,13.10764,162.0,236.06414,232.54728
51447,"['06H', '07S', '11D']","['03C', '04D', '08H', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.076,13.10843,162.0,236.02643,232.52086
24034,"['04D', '07S', '11D']","['03C', '06H', '08H', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.074,13.10863,162.0,236.01563,232.51326
10174,"['03C', '07S', '11D']","['04D', '06H', '08H', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.073,13.10864,162.0,236.01013999999998,232.50928
22270,"['04D', '06H', '11D']","['03C', '07S', '08H', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.064,13.10873,162.0,235.96073,232.47346
8410,"['03C', '06H', '11D']","['04D', '07S', '08H', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.063,13.10874,162.0,235.95524,232.46948
1711,"['03C', '04D', '11D']","['06H', '07S', '08H', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.043,13.108759999999998,162.0,235.84526,232.38952
57999,"['07S', '08H', '10S']","['03C', '04D', '06H', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",10.087,13.116430000000001,162.0,230.59493,228.58086
25294,"['04D', '08H', '10S']","['03C', '06H', '07S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",10.084,13.11763,162.0,230.57963,228.57126
11434,"['03C', '08H', '10S']","['04D', '06H', '07S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",10.083,13.11764,162.0,230.57414,228.56727999999998
23782,"['04D', '07S', '10S']","['03C', '06H', '08H', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",10.074,13.11863,162.0,230.52562999999998,228.53325999999998
9922,"['03C', '07S', '10S']","['04D', '06H', '08H', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",10.073,13.11864,162.0,230.52014,228.52928
22018,"['04D', '06H', '10S']","['03C', '07S', '08H', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",10.064,13.11873,162.0,230.47073,228.49346
8158,"['03C', '06H', '10S']","['04D', '07S', '08H', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",10.063,13.118739999999999,162.0,230.46524,228.48948000000001
1459,"['03C', '04D', '10S']","['06H', '07S', '08H', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",10.043,13.118759999999998,162.0,230.35526,228.40952
50943,"['06H', '07S', '08H']","['03C', '04D', '10S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",8.076,13.12043,162.0,219.53843,220.54486
9670,"['03C', '07S', '08H']","['04D', '06H', '10S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",8.073,13.12064,162.0,219.52214,220.53328
7906,"['03C', '06H', '08H']","['04D', '07S', '10S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",8.063,13.12074,162.0,219.46724,220.49348
1207,"['03C', '04D', '08H']","['06H', '07S', '10S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",8.043,13.120759999999999,162.0,219.35726,220.41352
21514,"['04D', '06H', '07S']","['03C', '08H', '10S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",7.063999999999999,13.12083,162.0,213.97283,216.49766
703,"['03C', '04D', '06H']","['07S', '08H', '10S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",6.043,13.120869999999998,162.0,208.35737,212.41374
67878,"['10S', '11D', '13S']","['03C', '05C', '12C', '12H', '12S']","['04D', '05H', '06H', '07S', '08H']",13.12,57.0,73.0,202.16,239.48
67898,"['10S', '11D', '13S']","['03C', '05H', '12C', '12H', '12S']","['04D', '05C', '06H', '07S', '08H']",13.12,57.0,73.0,202.16,239.48
49265,"['05H', '11D', '13S']","['03C', '10S', '12C', '12H', '12S']","['04D', '05C', '06H', '07S', '08H']",13.115,57.0,73.0,202.1325,239.46
40193,"['05C', '11D', '13S']","['03C', '10S', '12C', '12H', '12S']","['04D', '05H', '06H', '07S', '08H']",13.115,57.0,73.0,202.1325,239.46
15098,"['03C', '11D', '13S']","['05H', '10S', '12C', '12H', '12S']","['04D', '05C', '06H', '07S', '08H']",13.113,57.0,73.0,202.1215,239.452
15063,"['03C', '11D', '13S']","['05C', '10S', '12C', '12H', '12S']","['04D', '05H', '06H', '07S', '08H']",13.113,57.0,73.0,202.1215,239.452
